Commure EHR Integration Reference — SE Master Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  EHR ID,,  RCM  ·  Revenue Cycle Management,,,,,,,  Ambient AI  ·  Clinical Documentation,,,,,,,  Agents,,,  Commure Pro,,  Pivot Guidance,,,,,,  Meta,,,,,
EHR Name,EHR Aliases / Alt Names,RCM Status,RCM Difficulty,RCM Method,RCM Min ARR,"RCM Timeline
(Best Case)","RCM Timeline
(Typical)",RCM Notes / Constraints,"Ambient
Status","Ambient Writeback
Method","Ambient Appt
Sync Method","Ambient Appt
Sync Notes","Ambient Client
Prerequisites","Ambient
Timeline",Ambient Notes,"Agents
Supported",Agents Tier,Agents Notes,"Pro
Supported",Pro Notes,Blocker Signal 1,Pivot Path 1,Blocker Signal 2,Pivot Path 2,SE Action Guidance,SE Internal Notes,Source Validated,"Validate w/
Engineering",Last Updated,Owner,,
WebPT,WebPT,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,Direct Connect EHR. PT/Rehab focused. Stable integration.,Supported,Selenium,Browser-based (Selenium),Appointment pull included with Selenium writeback — tied together.,"EHR login credentials, test patient, test appointment",4–6 weeks,Strong PT/Rehab option. One of the easier integrations.,❌ No,Not applicable,,❌ No,Not applicable,,"""We can't provide browser credentials""",No alternative path documented for WebPT. Escalate to engineering if credential access is blocked.,,,,Standard Selenium deal. Straightforward scoping.,INTERNAL: PT/Rehab focus — confirm specialty before scoping templates.,RCM Notion CSV,No,Mar 2026,Chris Logue
AdvancedMD,AMD,Supported,Medium,Selenium,No minimum,6–10 weeks,10–14 weeks,"Direct Connect EHR. Multi-specialty: Allergy, EM, Family, Internal Medicine, Neuro, Ortho, Peds, Psych, Thoracic, Urology.",Supported,Selenium,Browser-based (Selenium),Appointment pull included with Selenium writeback.,"EHR login credentials, test patient, test appointment",6–10 weeks,Medium difficulty — more configuration than Easy EHRs but well-understood path.,❌ No,Not applicable,,❌ No,Not applicable,,"""Our IT team controls login credentials and is slow to provision""",Credential provisioning is on the critical path. Request credentials in kickoff. Timeline doesn't start until credentials are received (per SOW).,,,,Flag credential timing early. It's the #1 delay on Medium difficulty EHRs.,INTERNAL: Medium difficulty = more IT touchpoints. Set expectation with customer PM.,RCM Notion CSV,No,Mar 2026,Chris Logue
Elation,"Elation EHR, ElationPM",Supported,Hard,Selenium,"$250,000",8–10 weeks,12–16 weeks,CRITICAL: Requires ElationPM paired with Elation EHR — separate PM systems not supported. Elation stores only 1 insurance record (can't modify or see old insurance).,Supported,Selenium,Browser-based (Selenium),Appointment pull tied to Selenium writeback.,"ElationPM confirmed (not separate PM), EHR login credentials, test patient, test appointment",8–12 weeks,Insurance limitation is a hard constraint — communicate early.,❌ No,Not applicable,,❌ No,Not applicable,,"""We use a separate PM system, not ElationPM""",Hard stop — Elation integration requires ElationPM. Cannot proceed without it. Document as deal blocker.,"""We need to see multiple insurance records""","Elation stores 1 insurance record by design. This is a product limitation of Elation, not Commure. Cannot be worked around.","Confirm ElationPM in the first call. If they don't have it, the deal is blocked — escalate to AE.",INTERNAL: $250K minimum. ElationPM dependency is a hard blocker. Flag immediately if not confirmed.,RCM Notion CSV,No,Mar 2026,Chris Logue,
Kareo / Tebra,"Kareo, Tebra",Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,"Straightforward Selenium. Family Medicine, OB/GYN, Ortho, PT, Psychiatry.",Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–6 weeks,One of the easiest integrations. Low-risk.,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Straightforward deal. Strong for mid-market ambulatory.,INTERNAL: Easy path. No minimum ARR.,RCM Notion CSV,No,Mar 2026,Chris Logue
DrChrono,DrChrono,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,"Family Medicine, Internal Medicine, Neurology, PT. Easy path.",Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–6 weeks,,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Standard easy deal.,"INTERNAL: Easy, no minimum.",RCM Notion CSV,No,Mar 2026,Chris Logue
PracticeFusion,Practice Fusion,Supported,Easy,Selenium,No minimum,4–6 weeks,6–8 weeks,Known data limitations. Confirm what fields are accessible before committing.,Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",4–8 weeks,Data limitations — set expectations early on what fields are available.,❌ No,Not applicable,,❌ No,Not applicable,,"""What data can you pull from PracticeFusion?""",Known limitations — confirm specific fields with engineering before scoping. Do not over-commit.,,,,Confirm field availability with engineering before scoping. Data limitations = expectation risk.,INTERNAL: Data limitations are real. Don't let sales over-promise.,RCM Notion CSV,No,Mar 2026,Chris Logue
Greenway,Greenway Health,Conditional,Hard,HL7 or Transformer,"$500,000",⚠ Validate,⚠ Validate,No new builds <$500K. HL7 has potential to extend timelines 120+ days. Requires approval.,Limited,⚠ Validate,⚠ Validate,Not well-documented for Ambient. Escalate to engineering.,"Approval required, EHR access, IT point of contact",⚠ Validate,Greenway is a conditional / approval-required deal. Not a standard path.,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Greenway and want to move forward""","Need deal desk approval before scoping. Flag to AE — $500K minimum, 120+ day risk on HL7 path.",,,,Never commit to Greenway timeline without approval. 120+ days is real.,INTERNAL: Approval required. $500K minimum. Hard stop.,RCM Notion CSV,✅ Validate everything,Mar 2026,Chris Logue
Heno,Heno PT,Conditional,Hard,837 File Batch or Transformer,"$500,000",⚠ Validate,⚠ Validate,No new builds <$500K. PT/Rehab focused.,Unknown,⚠ Validate,⚠ Validate,Not documented for Ambient.,Approval required,⚠ Validate,,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Heno and want Ambient""",Ambient path not documented. Escalate to engineering before making any commitments.,,,,Do not commit without engineering and deal desk approval.,INTERNAL: Approval required. $500K minimum.,RCM Notion CSV,✅ Validate everything,Mar 2026,Chris Logue
NetHealth,NetHealth,Supported,Hard,DB Connection or Selenium,"$250,000",8–10 weeks,12–16 weeks,"PT/Rehab. Every site's instance is different — some browser-based, some server-based. UNITS calculations done on Commure side. Policy holder data not pulled via DB Connection — manual process required.",Supported,Selenium or DB Connection,Instance-specific,Requires instance assessment before scoping. Browser vs server-based determines approach.,"NetHealth version and hosting type, DB or browser access details, IT contact for instance-specific configuration",8–16 weeks,Instance variability is the main risk — scope carefully.,❌ No,Not applicable,,❌ No,Not applicable,,"""Our NetHealth instance is server-based""",DB Connection path. Longer build but more stable than browser-based. Policy holder limitation applies — must be communicated.,"""We need policy holder data pulled automatically""",DB Connection doesn't pull policy holder data — manual process required. Cannot be worked around currently.,Request instance type in first call. Never scope NetHealth without knowing browser vs server.,INTERNAL: $250K minimum. Instance variability = scope risk. Always do a technical discovery call.,RCM Notion CSV,No,Mar 2026,Chris Logue,
MedENT,MedENT,Supported,Hard,HL7,"$250,000",⚠ Validate,⚠ Validate,Last customer was Lattimore. Limited deployment history. EM + PT/Rehab.,Unknown,⚠ Validate,⚠ Validate,Not documented for Ambient.,"Approval, HL7 access",⚠ Validate,,❌ No,Not applicable,,❌ No,Not applicable,,,,,,,Very limited history. Treat like a new build — involve engineering early.,INTERNAL: $250K minimum. Low deployment history = higher risk.,RCM Notion CSV,✅ Validate,Mar 2026,Chris Logue
Office Ally,Office Ally,Supported,Easy,Selenium,No minimum,4–8 weeks,6–10 weeks,CAUTION: Multiple versions of Office Ally exist. Built for 1 version — other versions may not expose the data level needed for a successful Colossus build.,Unknown,⚠ Validate,⚠ Validate,Version-dependent. Confirm version before scoping Ambient.,"Office Ally version confirmed, EHR login credentials",⚠ Validate,Version confirmation is critical — don't scope without it.,❌ No,Not applicable,,❌ No,Not applicable,,"""We're on Office Ally but not sure which version""","Need to confirm version before scoping. If on an unsupported version, integration may not be possible.",,,,Version confirmation is the first question. Don't proceed without it.,INTERNAL: Version risk is real. Never commit to Office Ally without version confirmation.,RCM Notion CSV,No — but confirm version,Mar 2026,Chris Logue
InSync,InSync Healthcare,Supported,Medium,Selenium,No minimum,6–10 weeks,8–12 weeks,Integration is stable but EHR itself is unstable. Psychiatry-focused.,Supported,Selenium,Browser-based (Selenium),Appointment pull included.,"EHR login credentials, test patient, test appointment",6–10 weeks,EHR instability = production risk post go-live. Set expectations.,❌ No,Not applicable,,❌ No,Not applicable,,"""InSync keeps having outages""","Commure integration is stable — InSync EHR instability is a product issue on their side, not ours. Document for customer awareness.",,,,Proactively disclose EHR instability so customer isn't surprised post go-live.,INTERNAL: EHR instability is a known risk. Include in SOW exclusions language.,RCM Notion CSV,No,Mar 2026,Chris Logue
