title,description,link
"Ambient Auto Coding Intro","Introduction to Commure Ambient Autonomous Coding","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/48fvv7u4c62_1767908972781.mp4"
"General Catalyst's HATCo acquires Summa Health for $485M","","https://www.mobihealthnews.com/news/general-catalysts-hatco-acquires-summa-health-485m"
"Forbes - Hatco Summa Health Acquisition","","https://www.forbes.com/sites/iainmartin/2025/05/27/this-top-vc-wants-to-use-main-street-america-as-an-ai-lab/?utm_medium=social&utm_source=ForbesMainLinkedIn&utm_campaign=socialflowForbesMainLI"
"GI Rockies Diagram","","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/qsoewk56sb_1769626051608.png"
"Largest AI Provider in Healthcare","Commure and Athelas sign deal to acquire Augmedix (NASDAQ: AUGX), creating the largest artificial intelligence software provider in healthcare","https://www.commure.com/blog/commure-and-athelas-sign-deal-to-acquire-augmedix"
"ECW Writeback","Shows Commure Ambient Scribe Writeback for ECW workflows","https://app.arcade.software/flows/EvfysfjBazdGEqMDAT7v/edit"
"Visit Summary Mobile","A patient using their mobile device to complete pre-visit documentation and review their after-visit care instructions.","https://www.youtube.com/shorts/WGeBYy_fnb0"
"Autonomous Coding w/ Meditech","Commure Autonomous Coding using Meditech","https://www.youtube.com/watch?v=MnvCJHv8WJs"
"Denial Through AI","Commure blog on Fixing Denials Before They Happen","https://www.commure.com/blog/fixing-denials-before-they-happen-commures-ai-approach-to-rcm"
"Underpayment Automation","Commure AI Underpayment: auto appeal letter generation - no human touch","https://www.youtube.com/watch?v=9A9WneBFWAI"
"AI Data Analyst","Revenue Analyst Demo","https://www.youtube.com/watch?v=osEz5QoATMM"
"Commure Ambient: Expanse Now","Commure Ambient - Expanse Now - Meditech","https://www.youtube.com/watch?v=FGTbvpOl5jA"
"Ambient Care Cues","Commure Ambient Care Cues","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/7cvz6s6aj8a_1768510447022.mp4"
"Referral Management Platform demo","","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(54.6528% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/7ZpzNX4Cu3ufWMP3dxLl?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure - Referral Management Platform Demo"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Autonomous Coding Demo","View a demonstration of auto coding in Commure Ambient","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/52m9w5cb6k9_1768578308577.mov"
"Commure Ambient Autonomous Coding","Overview of Commure Autonomous Coding, part of Ambient","https://www.youtube.com/watch?v=leqHQnjWk_w"
"Commure RCM Introduction","","https://youtu.be/DgMOJYaMjrE"
"Patient Keeper Overview Demo","Streamline Clinical and Financial Workflows with PatientKeeper. Vidyard embedd","<iframe class=""vidyard_iframe"" title=""Streamline Clinical and Financial Workflows with PatientKeeper"" src=""//play.vidyard.com/8omEEzSiAo33mQPSsVSyUG.html?"" width=640 height=360 scrolling=""no"" frameborder=""0"" allowtransparency=""true"" allowfullscreen referrerpolicy=""no-referrer-when-downgrade""></iframe>"
"2025 KLAS Report","Commure Ambient AI Scores High Marks in KLAS First Look Report for Automating Provider Documentation & RCM","https://www.commure.com/press-releases/commure-ambient-ai-scores-high-marks-in-klas-first-look-report-for-automating-provider-documentation-rcm"
"Commure Ambient Scribe: Onboarding","","https://www.youtube.com/watch?v=7HE-QEBAauw"
"Dual Auth Bypass - AI Request via Portal","Commure Agents Athelas AI Request Authorization via Portal","https://www.youtube.com/watch?v=1lLD7AGu5zY"
"Try Commure Scribe","Try Scribe for Free. No Credit Card required.","https://scribe.commure.com"
"Ambient Citations","Commure Ambient AI Feature Demo: Citations","https://www.youtube.com/watch?v=yDhdXAbu6qk"
"Commure Ambient AI -","Ambient AI solutions for the entire care journey
Commure Ambient AI is trusted by dozens of leading health systems and is tailored across clinicians, specialities, and care settings. Streamline ED, Hospital, and Ambulatory workflows with ease.","https://www.commure.com/ambient-ai"
"Commure Pro Overview","","https://docs.google.com/presentation/d/1WBEbvWm7l9KA_ygfqovg76vs1fl5F82Tqx_CoVFteRg/edit?usp%3D"
"Commure Pro Data Sheet","","https://drive.google.com/file/d/1E2UuzWIR-dDK9NRsKlCYTfinkIsFZN1X/preview"
"Commure AI Agents - Call Center Workflows","Call center agents in action","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/54a61b50-009d-4239-98e2-92d5bbcaf9be/2c5d32h50oi_1772817922848.mp4"
"Customize Templates and Workflow","How Commure Ambient AI supports orthopedic efficiency, fewer clicks, and real-world provider customizations. ","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(50.4167% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/Xr7Fm542vNoIjzNLkPSs?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Customize Documentation Templates &amp; Workflow — OrthoAlliance Edition"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"AI Agent Scheduling Overview","A patient calling their healthcare provider and scheduling an appointment using an AI agent. ","https://www.youtube.com/watch?v=YN3dfl7c7lk"
"Commure Assistant - Web","Web View Commure Assistant Storylane ","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/6ui39cfcmin_1771183958672.png"
"Commure Agents","Commure Agents:
AI-Powered Colleagues Built for Healthcare
Intelligent, customizable assistants that automate complex tasks at 1/100th the cost of a human.","https://www.commure.com/agents"
"Commure RCM","Boost payments, faster.
The financial operating systems for health practices and health systems. End-to-end automation for coding, prior auth, eligibility, submissions, posting, and appeals.","https://www.commure.com/rcm"
" AI-Powered Prep That Reduces Clicks and Improves Accuracy","How a surgeon uses Ambient AI to prepare for patient visits. ","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(49.8947% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/D09TZvcwRDoG0c06TdqJ?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title="" AI-Powered Prep That Reduces Clicks and Improves Accuracy"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Ambient for AWS","","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(56.25% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/C0w6AZ4LK5XrJUCxK9Mu?embed&embed_mobile=inline&embed_desktop=inline&squared=true&show_copy_link=true"" title=""(AWS Agenda)"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure Awarded as a TIME World’s Top HealthTech","","https://www.commure.com/press-releases/commure-awarded-as-a-time-worlds-top-healthtech-company-in-2025"
"Emanate-Commure Denials Agent","","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/19b52cdc-4086-4b5a-ba55-5057a2fd1118/xwa4s5zcj8b_1770222356700.mp4"
"Commure CTO Dhruv Parthasarthy on Why Every Health System Will Be a Technology Company in the Future","","https://youtu.be/ElIy3IXyidw"
"Call Center Agents","Overview slide for call center agents","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/54a61b50-009d-4239-98e2-92d5bbcaf9be/n4d6rtjcpl7_1767795086871.png"
"Commure CEO Tanay Tandon on AI's Role in Transforming Healthcare","","https://youtu.be/thS88_7xWbQ"
"Inside Commure: Building Healthcare’s Future Starts with Culture","Discover how Commure’s culture of speed and ownership—led by COO Deepika Bodapati—is accelerating healthcare innovation through talent, M&A, and deep collaboration with health systems","https://www.youtube.com/watch?v=KCrlzJcM7dY"
"Care Pathways Library","Examples of our main care pathways","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/54a61b50-009d-4239-98e2-92d5bbcaf9be/0itxysuly8y_1767795134386.png"
"Care Pathways","Care pathways overview","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/54a61b50-009d-4239-98e2-92d5bbcaf9be/yvmww5uxn5_1767795175312.png"
"Athena Integration Overview","Turn-key Athena Integration for Ambient AI (API)","https://drive.google.com/file/d/1LP7B7mECobMFc6M1c_5LSdaqtJp7vWf5/preview"
"Rural Health Transformation Project","","https://youtu.be/jjaqwWHX6bk"
"Ambient AI in RCM","Learn how Commure Ambient AI helps drive RCM efficiency in modern Healthcare.","https://hs-9019343.f.hubspotemail.net/hubfs/9019343/FINAL-commure-playbook76680.pdf"
"Surgical Care Pathway","Surgical Care Pathway Video","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(54.0278% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/RxyUBB5S1cPKYxiQ1MrC?embed&embed_mobile=inline&embed_desktop=inline&show_copy_link=true"" title=""Surgery Care Pathway"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Patient Scheduling","","https://commure.storylane.io/share/yr0qefeklgzc?embed=inline"
"Customizing Ambient Notes","Note Customizations","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(56.6745% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/4FzT0WjTQHosdcr0unLu?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Customizing Ambient Notes"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure Agents Scheduling Integrated to Calendar","","https://www.youtube.com/watch?v=8nygb5pJ-K0"
"Commure Agent Center","AI Agents activity, session analytics, and real-time insights presented by Commure engineers. ","https://www.youtube.com/watch?v=DpXAYNWxaDI"
"RCM Assistant","Commure RCM Assistant","https://www.youtube.com/watch?v=13Ya5nnR-ek"
"Ambient Encounter Walkthru","This guided click thru demonstration shows Commure Ambient recording an encounter, providing an accurate transcript and customized Note, Care Cues, Coding and After Visit Summaries.","<div>
  <script async src=""https://js.storylane.io/js/v2/storylane.js""></script>
  <div class=""sl-embed"" style=""position:relative;padding-bottom:56.25%;width:100%;height:0;transform:scale(1)"">
    <iframe loading=""lazy"" class=""sl-demo"" src=""https://commure.storylane.io/demo/ob-isa?embed=inline"" name=""sl-embed"" allow=""fullscreen"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%!important;height:100%!important;border:1px solid rgba(63,95,172,0.35);box-shadow: 0px 0px 18px rgba(26, 19, 72, 0.15);border-radius:10px;box-sizing:border-box;""></iframe>
  </div>
</div>"
"Commure Agents","Call Center Agents","https://www.youtube.com/watch?v=YN3dfl7c7lk"
"Ambient Features","Ambient extends your care beyond the note.","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/mjngrxmjn7_1768339001793.mp4"
"Commure Ambient Documentation","View our complete Ambient documentation here!","https://docs.ambient.commure.com"
"Commure Assistant","Commure Assistant on iOS or Android","<!--ARCADE EMBED START--><div style=""position: relative; max-height: calc(41px + 70vh); aspect-ratio: 0.660167 / 1; margin: 0px auto;""><iframe src=""https://demo.arcade.software/dcS2b7QU7MwU0019F0PC?embed&embed_mobile=inline&embed_desktop=inline&show_copy_link=true"" title=""Commure Assistant Workflow [Chrome Ext]"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Ambient Audio - Hebrew Encounter","Ambient encounter audio in Hebrew","https://drive.google.com/file/d/1ep72_7MuSe-QUVcIDQIz3KOToX8DZh7x/preview"
"Commure Ambient AI ROI","Commure Ambient AI ROI Analysis","https://drive.google.com/file/d/1fZfAnIKqcKGEigaWhyIZYlfIDAu6LODi/preview"
"RCM Click Thru Demo","This guided demo will walk you through the Commure Athelas RCM platform.","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(48.6458% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/eTY2beTa64Bp41YvyVpp?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""RCM"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Denial Automation","Commure Denial AI Appeal - No Human touch","https://www.youtube.com/watch?v=s7UntfVsfsQ"
"CareCues","","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/album/8yso9umpqp_1768517984570.png"
"Care-Cues","","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/3d3f2c3f-10e1-4cb1-bd78-fce26144269f/album/j2rumz16nmg_1768518214819.png"
"Commure RCM","Commure Revenue Cycle Management","https://drive.google.com/file/d/10RZlHk6eccIh3BumzDQ3AmxB39IY_g2U/preview"
"Commure - Hebrew Language Demo","Demonstration of Commure Ambient with Hebrew Language Encounter","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(49.2188% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/klU8bHNgXijAausS9Nms?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Ambient Hebrew"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Hebrew Transcript and Note PDF","Detail of transcript and note for hebrew encounter example","https://drive.google.com/file/d/1xjfsRWM10FvlRAY8TQOla2SwpJG8Gx9Z/preview"
"Ambient AI Note Creation & Review","Using Ambient AI to capture an encounter.","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(48.6458% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/uiHD3Gs3bXfUWOuistmS?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Ambient AI Capture &amp; Note"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure AI Workflow","Commure AI Workflow Platform","https://drive.google.com/file/d/1dvODgMvYHdSsQ2vscpbkt7TjhEls8NfH/preview"
"Commure Ambient AI Overview","Commure Ambient AI Overview","https://drive.google.com/file/d/1PNVK6dQn6mfuHQxOfWHZ2j65494fkZw0/preview"
"Commure Meditech Alliance","Commure Meditech Integration","https://drive.google.com/file/d/1tHRUb-hnKNnQ-VFNavUqgXCty8h1Fmgq/preview"
"MEAT Care Cues","Commure Ambient AI Feature Demo: MEAT Care Cues","https://www.youtube.com/watch?v=2j8hEtpi_z0"
"Visit Summary ","After visit summary on a mobile device","https://youtube.com/shorts/WGeBYy_fnb0?si=50PGZaDCHz5WNucz"
"Captcha Bypass - AI Eligibility","Commure Agents","https://www.youtube.com/watch?v=bFkBs4tH8h4"
"Payer Call","Commure Agents - payer call","https://www.youtube.com/watch?v=XH4tSimcCew"
"Commure Overview","Commure Platform Overview","https://drive.google.com/file/d/1xAYgpocOpcqLSU4SRiah98aqRcODAvVS/preview"
"Commure Ambient w/ Care Cues - OB GYN","Demonstration of Ambient Note Creation with Care Cues and Coding - OB-GYN","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(49.2188% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/ab1CFEa1T5Q5YDfb1Kzw?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure Ambient w Care Cues OB GYN"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure Ambient AI System Technical Overview","This document outlines the technical specifications and requirements for Commure Ambient","https://drive.google.com/file/d/1zTGy_-XYkULJeVi6RUo7Ep9JiHDeFUn3/view?usp=sharing"
"Ambient Dictation Ortho","Dictation example for an Orthopedic patient","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(49.2188% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/g0yal3ukq1Xpu9LmUYUz?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""OrthoAlliance Dictation"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Pre-Visit AI Summaries","Pre-visit co-development opportunity","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/19b52cdc-4086-4b5a-ba55-5057a2fd1118/album/oeay82gua8r_1769196951699.svg"
"OrthoAlliance Presentation","","https://docs.google.com/presentation/d/1OWG-Ru0SE2TiOfaPSu89C5tniyD6JF7ZeY2-ViuFWlU/edit?slide=id.g3bb8afc0d5a_0_1858#slide=id.g3bb8afc0d5a_0_1858"
"Athena Integration ","Ambient integrated with Athena","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/19b52cdc-4086-4b5a-ba55-5057a2fd1118/y6vm3tcbfjq_1769011819948.mp4"
" Dr. Jana Thor at Ob Hospitalist Group on Reclaiming Time with Autonomous Coding","Dr. Jana Thor shares how autonomous coding has reshaped daily workflows at the Ob Hospitalist Group, cutting administrative work and giving clinicians more time where it matters most.","https://www.youtube.com/watch?v=tRhoHokk6nc"
"Urology Voice Demo","Commure Agents","https://www.youtube.com/shorts/P34rHkufaRw"
"Epic Ambient AI","Ambient AI integrated with Epic EMR","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(53.8776% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/FEMmMVwlxoqxeRjOJ22Q?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Demo Epic Ambient-Writeback"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"AI Front Call Center Agent","AI Front Call Center Agent Overview","https://drive.google.com/file/d/15ySrat7JjP-25yBmuf-ODaEYVJBtRJdW/preview"
"Commure Agents Product Summary","Commure Agents Product Summary","https://drive.google.com/file/d/1asfpWvtkSakc4I-OJy3YdXuMgAmWJzyn/preview"
"Psychiatry Ambient AI","Example of a psychiatry template in Ambient AI.","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(48.6458% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/7R8bGPLlrRbu4y0Wqgl0?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Ambient AI Psych Progress Note"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Ambient Note & Assistant","Capturing, editing, refining an Ambient note in Commure. ","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(48.6458% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/EPMGVWpRrIBmnTE2GayF?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Ambient Note Customizations &amp; Assistant"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"OrthoAlliance Ambient","","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(56.25% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/un7eOkQMHXoh3Dds8BYB?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""OrthoAlliance Agenda"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Commure Pro Overview","2026 Release of Commure Pro","https://juikwsbhlbmrhsxpbawi.supabase.co/storage/v1/object/public/content-media/19b52cdc-4086-4b5a-ba55-5057a2fd1118/haurp94a0ua_1770238784735.mp4"
"RCM Overview","Insights to Actions-All your RCM needs in one platform!","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(50.4167% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/hwLIePzHWfYUJtnX4FUn?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Unify the RCM Lifecycle"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"RCM Slide Deck","Slide overview of Commure RCM","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(46.5625% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/YPAUg62CWQhL9HoE4zor?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure RCM Overview Slides w Demos"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Enterprise Platform Overview","Commure builds the financial infrastructure that powers modern health systems. ","<!--ARCADE EMBED START--><div style=""position: relative; padding-bottom: calc(48.6191% + 41px); height: 0px; width: 100%;""><iframe src=""https://demo.arcade.software/dv03vUkuX6cJgMygaFNQ?embed&embed_mobile=tab&embed_desktop=inline&show_copy_link=true"" title=""Commure Platform in Action"" frameborder=""0"" loading=""lazy"" webkitallowfullscreen mozallowfullscreen allowfullscreen allow=""clipboard-write"" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; color-scheme: light;"" ></iframe></div><!--ARCADE EMBED END-->"
"Auto Payer Policy Updates - Rule Oracle","Commure AI RCM: Rule oracle auto payer policy update","https://www.youtube.com/watch?v=gGkC9oB1MWM"
"Automate Manual Portal Checks","Commure Agents: automate payer portal checks","https://www.youtube.com/watch?v=9UxiwwCQGko"
"Commure Engage","Digital patient care journeys. Evidence-based clinical care coordination.
Commure Engage enables healthcare organizations to improve the patient experience and streamline care journeys by activating, engaging, and monitoring patients via automated and evidence-based digital navigation pathways.","https://www.commure.com/engage"
"About Us Blurb","We exist to make every healthcare organization the most advanced, intelligent, and human-centered system in the world, where AI eliminates friction, providers focus on care, and patients receive higher-quality outcomes at lower costs.
Born in Silicon Valley with an engineering-first DNA, we take an “anti-outsourced” approach and maintain the highest engineering-to-operator ratio in the industry. This gives us the agility to solve healthcare’s most complex challenges, directly with AI and model development that is built, not borrowed.
Today, we power 150+ enterprise health systems, including 5 of the top 10 largest health systems and 5 of the top 10 children’s hospitals in the U.S. We are privileged to partner with Vizient, AWS, and HATCo, and backed by some of the world’s most respected investors - General Catalyst, Sequoia, NVIDIA, and Human Capital. Our impact is already measurable, but our work is just beginning.","https://www.commure.com"
